prediction_gender,probability,status/day,status count,favorite count,follow/friend,follower count,gender
f,0.95,1.824819712,6073,2234,0.870689655,101,female
f,0.95,32.25680934,74610,25674,1.011081442,15146,male
m,0.75,1.641486068,2651,345,0.498007968,250,female
f,0.75,13.32656944,42032,9518,1.04757085,1035,female
m,0.95,28.8492627,105646,34231,7.177925211,11901,male
f,0.75,0.003454231,2,0,0,0,female
m,0.75,20.78117207,33333,28062,1.888888889,527,female
m,0.95,0.48697138,1140,454,0.91202346,311,male
m,0.75,6.085619835,18409,3170,1.267736486,1501,female
f,0.75,23.77215878,87434,23143,2.23180593,828,female
m,0.75,10.40633534,19054,9797,1.304878049,428,male
f,0.75,2.060541914,4867,4114,1.619318182,285,male
m,0.95,0.515226337,1252,2054,1.005706134,705,male
m,0.75,0.483367983,465,13,1.484848485,98,male
f,0.75,13.0147541,15878,1625,0.721991701,174,female
m,0.95,0.004381161,4,6,0.575,23,male
f,0.75,1.268171976,4100,515,0.887096774,165,male
f,0.95,3.269296741,7624,1574,1.110447761,372,female
f,0.95,0.70527307,749,488,0.25477707,80,female
m,0.75,4.102415164,13419,540,0.910990009,1003,female
m,0.75,0.290704739,957,508,0.226544622,99,male
f,0.95,0.737323944,1047,711,0.463235294,63,female
f,0.75,0.001197605,2,0,0,0,male
f,0.75,6.468387097,10026,19167,1.828101644,1223,female
f,0.75,3.960855164,13154,7409,3.460490463,1270,female
m,0.75,1.548369265,5602,4420,1.010778443,1688,male
m,0.75,0.900800557,2588,1525,0.632653061,155,male
m,0.95,1.342728298,2382,12359,1.738035264,690,male
f,0.95,0.371607516,356,629,0.525210084,125,female
f,0.75,29.90075188,79536,6045,3.667351129,1786,female
m,0.75,28.37744767,42027,27025,1.124183007,688,female
f,0.75,24.42481598,23228,0,1.266666667,19,female
m,0.75,0,0,0,0,0,female
m,0.75,16.18526316,46128,1297,0.137075718,315,male
m,0.75,52.08732158,124072,18585,2.3307393,1797,male
m,0.75,9.368819081,32210,13309,1380.621898,945726,female
m,0.95,0.672095548,1238,2974,0.587301587,74,male
m,0.95,27.38307441,66979,50823,1.41440846,2140,male
f,0.75,2.39132734,4522,7600,1.670807453,269,female
m,0.75,33.97106383,119748,1401,11.28818078,88917,male
m,0.75,132.9255969,239399,111186,0.915609756,1877,male
m,0.95,9.782477341,32380,46,1.570707071,311,male
m,0.95,4.603421462,11840,12568,0.556741028,574,female
m,0.95,3.707226355,6977,4575,1.02359882,694,female
f,0.75,7.894043528,13783,4956,0.857847976,869,male
m,0.95,0.793897216,1483,7953,0.764705882,104,male
f,0.95,3.943835015,8988,3904,0.610849057,259,female
m,0.95,135.7080657,380254,21388,8.023797206,15510,male
m,0.95,20.17460805,65628,3024,6.410084034,3814,male
m,0.95,2.622945831,8619,9163,14.69962687,7879,male
m,0.75,1.469328942,3569,2163,2.487046632,960,male
m,0.75,25.04580812,28978,40760,0.592417062,375,male
f,0.95,0.005780347,6,2398,8.54887218,1137,male
m,0.75,11.08251058,15715,3021,1.911111111,430,female
f,0.75,5.953789279,3221,5694,1.054945055,192,female
m,0.75,6.893685052,8624,2040,0.727574751,219,male
m,0.95,13.72345079,56472,19083,27.59891599,20368,male
m,0.75,4.329471033,8594,23060,1.869402985,501,male
f,0.75,9.437445699,21725,92,1.640740741,886,male
f,0.95,0.015701668,16,35,0.327586207,38,female
m,0.75,0.126179987,401,318,0.588516746,123,female
f,0.75,84.7712766,159370,0,56,56,female
f,0.75,8.482978723,15948,0,0,6,female
m,0.75,1.817817244,6346,4346,0.862650602,358,male
m,0.95,1.797655068,4753,411,0.413758724,830,male
m,0.75,0.658049354,1680,7287,0.891920252,850,male
m,0.75,6.17253012,12808,5777,1.301710731,837,female
m,0.95,6.509819967,15910,13202,0.660005124,2576,male
f,0.75,66.21755337,195408,3271,2.572470374,5644,male
m,0.95,1.289943849,2527,2266,0.383944154,220,male
f,0.95,4.287713841,8271,2146,1.472782258,1461,female
