@relation stream

@attribute text_prediction numeric
@attribute name_prediction numeric
@attribute status/day numeric
@attribute favorite/day numeric
@attribute gender {male,female}

@data
0.288962,0.09,1.512195,0.078049,female
0.883941,0.99,0.980609,0.434903,male
0.362585,0.5,0.029933,0.645447,male
0.39927,0.98,7.037646,11.185634,male
0.234889,0.99,2.805838,0.836717,male
0.261888,0.81,0.138768,0.018668,male
0.082138,0.78,2.590093,2.759512,female
0.5,0.5,3.095549,3.675786,female
0.687195,0.93,132.360221,0,male
0.5,0.99,0,0,male
0.5,0.98,0,0.002294,male
0.817644,0.98,1.357777,0.747123,male
0.632264,0.5,2.046129,0.083548,male
0.666128,0.5,39.401251,5.478552,female
0.017141,0.52,37.41597,2.540552,male
0.25121,0.98,7.431628,5.371225,male
0.137521,0.02,0.962006,0.284195,female
0.634988,0.99,10.325532,4.235106,male
0.545781,0.15,3.668858,12.736402,female
0.612843,0.5,0.010056,0.001117,female
0.509441,0.5,69.27836,2.311883,female
0.145294,0.5,5,2.949487,female
0.361482,0.99,5.042419,6.876053,male
0.999601,0.99,0.02077,0.061297,male
0.548901,0.5,6.965861,0.005252,male
0.699722,0.02,13.282794,4.333475,female
0.127803,0.5,7.242647,9.18115,female
0.5,0.55,0.000541,0,female
0.5,0.02,5.835275,2.82751,female
0.07649,0.06,6.861434,0.128051,female
0.996389,0.97,0.292221,0.034014,male
0.714567,0.98,2.474535,0.00061,male
0.170377,0.45,3.659654,1.51127,female
0.055813,0.02,5.467225,7.349605,female
0.327636,0.99,0.005439,1.473193,male
0.27766,0.96,16.412147,1.074102,male
0.339888,0.67,15.123207,2.401618,male
0.550492,0.15,24.874753,2.776768,female
0.009386,0.5,10.860585,1.660929,female
0.04098,0.02,34.649359,42.29737,female
0.09059,0.54,9.814722,2.672008,female
0.657202,0.15,13.628407,4.523673,female
0.128157,0.06,9.497029,8.102647,female
0.514631,0.5,2.93631,0.87381,male
0.029892,0.5,80.458795,4.250923,female
0.5,0.93,0,0.105882,male
0.395211,0.5,22.137831,0.013058,female
0.115627,0.5,0.238182,3.456364,female
0.5,0.5,0.777559,2.48622,female
0.5,0.02,18.302668,4.249617,female
